shopreddress,2020-06-25 12:23:48.993550,https://www.instagram.com/p/CBx-rRSguVv/,2020-06-23 14:27:19,"b'Livermore, California'",76,35,jennshellvlogs,3074,833
shopreddress,2020-06-25 12:24:03.451908,https://www.instagram.com/p/CBrAOW0Ann6/,2020-06-20 21:26:10,b'None',440,41,sierrarrichards,5086,748
shopreddress,2020-06-25 12:24:16.863505,https://www.instagram.com/p/CBs4slvH-jh/,2020-06-21 14:58:52,b'The Cardozo Hotel',3282,25,_bahamasgirl_,627226,863
shopreddress,2020-06-25 12:24:31.856266,https://www.instagram.com/p/CBv3SmkA-xd/,2020-06-22 18:44:18,b'None',75,17,alibeck_,716,823
shopreddress,2020-06-25 12:24:45.007484,https://www.instagram.com/p/CBy_UJDpRnm/,2020-06-23 23:52:09,b'Truck Yard The Colony',25,5,stylewithwisdom2,2561,734
shopreddress,2020-06-25 12:24:59.924259,https://www.instagram.com/p/CBtRj0YlyAt/,2020-06-21 18:36:08,b'None',13,5,stylebyjenica,46,27
shopreddress,2020-06-25 12:25:12.989528,https://www.instagram.com/p/CBy_kk4h97f/,2020-06-23 23:54:23,"b'Ruston, Louisiana'",113,56,laurenderveloy,14868,2889
shopreddress,2020-06-25 12:25:25.597498,https://www.instagram.com/p/CBsxdVOnGWi/,2020-06-21 13:55:37,b'None',75,14,simplythatblondee,181,280
shopreddress,2020-06-25 12:25:38.886724,https://www.instagram.com/p/CB0ZOQhgSOq/,2020-06-24 12:57:46,b'Connecticut',324,124,rosesandrainboots,18189,1402
shopreddress,2020-06-25 12:25:52.601351,https://www.instagram.com/p/CBqosAZAmS3/,2020-06-20 18:01:10,b'None',20,4,laurenholubphotography,675,337
shopreddress,2020-06-25 12:26:04.043262,https://www.instagram.com/p/CBuNLcfHRgI/,2020-06-22 03:17:05,b'None',1,0,iqfemm,183,3105
shopreddress,2020-06-25 12:26:17.172820,https://www.instagram.com/p/CBt6RQpJBaC/,2020-06-22 00:31:51,b'None',450,49,heyitsbecks,17096,2713
shopreddress,2020-06-25 12:26:29.969541,https://www.instagram.com/p/CBt5zOnl3ql/,2020-06-22 00:27:47,b'Ohio',72,12,morgan_needs_coffee,9785,4731
shopreddress,2020-06-25 12:26:43.461593,https://www.instagram.com/p/CBvxqN0A30v/,2020-06-22 17:55:06,"b'Surrey, British Columbia'",129,14,blossomsbypreet,6066,2825
shopreddress,2020-06-25 12:26:55.164805,https://www.instagram.com/p/CBszLJEA2l8/,2020-06-21 14:10:37,"b'Dallas, Texas'",922,28,alexvstout,52048,2453
shopreddress,2020-06-25 12:27:08.712515,https://www.instagram.com/p/CBw8ifwJZwZ/,2020-06-23 04:49:24,b'Uinta Mountains',538,12,thefashioncanvas,14646,1719
shopreddress,2020-06-25 12:27:21.564273,https://www.instagram.com/p/CBv0UsRHDcc/,2020-06-22 18:18:23,b'None',288,57,tracytaylorphotography,2118,2477
shopreddress,2020-06-25 12:27:34.294388,https://www.instagram.com/p/CBs-uaqH1oR/,2020-06-21 15:51:33,"b'Newport, Rhode Island'",76,10,liveagrandelife,259,382
shopreddress,2020-06-25 12:27:48.477111,https://www.instagram.com/p/CByXiAmgFAJ/,2020-06-23 18:04:31,b'Victoria Gardens',270,65,jennnymatilda,6032,359
shopreddress,2020-06-25 12:28:02.399492,https://www.instagram.com/p/CByxbSugume/,2020-06-23 21:50:47,"b'Jacksonville, Florida'",405,117,stephenychau,9719,5169
shopreddress,2020-06-25 12:28:17.058978,https://www.instagram.com/p/CBxokEehiNk/,2020-06-23 11:14:06,"b'California City, California'",4,0,galaxy_sportwear,85,171
shopreddress,2020-06-25 12:28:32.294567,https://www.instagram.com/p/CBtJZZOD6mJ/,2020-06-21 17:24:48,b'None',78,22,donnadoraaa,1261,2409
shopreddress,2020-06-25 12:28:45.757736,https://www.instagram.com/p/CBybQFygKL_/,2020-06-23 18:37:01,"b'Anna Maria, Florida'",51,4,leahbethstarkey,383,845
shopreddress,2020-06-25 12:28:59.549572,https://www.instagram.com/p/CBx02o8AZoO/,2020-06-23 13:01:30,"b'Nashville, Tennessee'",288,207,sparkleandstyle,5633,853
shopreddress,2020-06-25 12:29:13.685909,https://www.instagram.com/p/CByWsH1gkLI/,2020-06-23 17:57:09,"b'Reno, Nevada'",1325,131,thenexttrip,19358,2363
shopreddress,2020-06-25 12:29:25.688654,https://www.instagram.com/p/CBpx9atAn06/,2020-06-20 10:02:17,b'None',154,10,shwetadebnath22,2605,829
shopreddress,2020-06-25 12:29:39.236408,https://www.instagram.com/p/CBzGDgqHVWp/,2020-06-24 00:51:02,"b'Scottsdale, Arizona'",139,5,brennaheater,4121,789
shopreddress,2020-06-25 12:29:50.832389,https://www.instagram.com/p/CBuAN3fl9lJ/,2020-06-22 01:23:49,b'None',197,3,sujhana_nagaraj,1451,817
shopreddress,2020-06-25 12:30:03.156116,https://www.instagram.com/p/CBzDOK2jm8K/,2020-06-24 00:26:17,b'None',322,125,savannahmeadows1,3433,989
shopreddress,2020-06-25 12:30:15.439633,https://www.instagram.com/p/CByyn9_j_Hv/,2020-06-23 22:01:15,b'Rainbow Orlando',177,33,patricialapeliroja,1470,1339
shopreddress,2020-06-25 12:30:28.494676,https://www.instagram.com/p/CB1wSLOh9Yc/,2020-06-25 01:38:31,"b'Seaside, Florida'",91,10,juliana615,1656,898
shopreddress,2020-06-25 12:30:40.745825,https://www.instagram.com/p/CBqiGs6nMes/,2020-06-20 17:02:59,b'None',682,57,petrastunkastyle,12619,1024
shopreddress,2020-06-25 12:30:55.133725,https://www.instagram.com/p/CBwX9CGFmfY/,2020-06-22 23:29:43,b'None',339,76,the_other_mk,20665,2538
shopreddress,2020-06-25 12:31:09.110312,https://www.instagram.com/p/CBtv3GOMkfh/,2020-06-21 23:00:54,"b'Belmar, New Jersey'",690,71,fitmommy_inheels,59775,1701
shopreddress,2020-06-25 12:31:22.012263,https://www.instagram.com/p/CBtQ8TyFySa/,2020-06-21 18:30:44,"b'Delray Beach, Florida'",369,51,giselle_and_genesis,12815,1146
shopreddress,2020-06-25 12:31:35.985056,https://www.instagram.com/p/CBwcsr3jtFb/,2020-06-23 00:11:11,"b'Jacksonville, Florida'",188,36,blakeleysblondelife,11249,4591
shopreddress,2020-06-25 12:31:50.203762,https://www.instagram.com/p/CBs0c02g-73/,2020-06-21 14:21:46,"b'Augusta, Georgia'",276,28,caroline_collectively,5435,953
shopreddress,2020-06-25 12:32:01.946893,https://www.instagram.com/p/CB1Qw5oAFD9/,2020-06-24 21:03:06,b'Minnesota',224,61,hayleyalaines,5595,1834
shopreddress,2020-06-25 12:32:16.553970,https://www.instagram.com/p/CBrrn-qMoQW/,2020-06-21 03:45:24,b'None',1267,8,lifedevivi,42924,771
shopreddress,2020-06-25 12:32:29.106615,https://www.instagram.com/p/CByVuQvBChI/,2020-06-23 17:48:42,"b'Lake Stevens, Washington'",9109,366,carlyanndell,155279,1986
shopreddress,2020-06-25 12:32:44.223478,https://www.instagram.com/p/CByP3tfAGc1/,2020-06-23 16:57:34,"b'Wrightsville Beach, North Carolina'",275,141,kelleyannegibson,4735,1680
shopreddress,2020-06-25 12:32:56.872890,https://www.instagram.com/p/CBqyea8jMZT/,2020-06-20 19:26:02,"b'Lebanon, Tennessee'",253,49,thedaintystyle_blog,1576,1470
shopreddress,2020-06-25 12:33:09.207155,https://www.instagram.com/p/CBrLFLCp8kE/,2020-06-20 23:01:04,"b'Baltimore County, Maryland'",27,0,wifestyletalk,1035,1379
shopreddress,2020-06-25 12:33:23.335769,https://www.instagram.com/p/CBqvN42lnCP/,2020-06-20 18:57:33,"b'Nashville, Tennessee'",16,2,happilyeveratwood,161,370
shopreddress,2020-06-25 12:33:36.602839,https://www.instagram.com/p/CBq1eLEDg5m/,2020-06-20 19:52:12,"b'Glen Ellyn, Illinois'",105,17,angielaamarie,2130,1095
shopreddress,2020-06-25 12:33:50.795701,https://www.instagram.com/p/CBvmtjUgpg7/,2020-06-22 16:19:26,b'Shops at Buckhead',183,84,justjstylinlife,2407,1162
shopreddress,2020-06-25 12:34:02.897278,https://www.instagram.com/p/CBrKWrKJAHr/,2020-06-20 22:54:41,b'None',21,1,makeupwithprincesspinky,1581,4964
