1:03:04.641718,2020-06-20T02:50:48.641718Z,https://www.instagram.com/p/CBo5XTLgo2K/,103,21,2020-06-20T01:47:44.000Z,itslaurenrose,7521,1921
1:26:43.186215,2020-06-20T02:50:56.186215Z,https://www.instagram.com/p/CBo2rC4jvYy/,93,26,2020-06-20T01:24:13.000Z,professionalandposh,4310,376
1:47:54.223684,2020-06-20T02:51:03.223684Z,https://www.instagram.com/p/CBo0QtBg2jW/,162,26,2020-06-20T01:03:09.000Z,landonhopestevens,7448,116
3:40:37.433741,2020-06-20T02:51:10.433741Z,https://www.instagram.com/p/CBonX--JLtG/,607,68,2020-06-19T23:10:33.000Z,patti_moraes,67718,1878
"69 days, 2:26:36.912002",2020-06-20T02:51:18.912002Z,https://www.instagram.com/p/B-3FAsvp3Hl/,44,2,2020-04-12T00:24:42.000Z,rebekkaelis,434,1018
4:15:28.567521,2020-06-20T02:51:25.567521Z,https://www.instagram.com/p/CBojanwlE1n/,65,6,2020-06-19T22:35:57.000Z,shemaybelittle_,155,125
4:31:32.060284,2020-06-20T02:51:33.060284Z,https://www.instagram.com/p/CBohl7AgHSK/,181,24,2020-06-19T22:20:01.000Z,cami_beeson,9088,1082
6:38:49.828441,2020-06-20T02:51:39.828441Z,https://www.instagram.com/p/CBoTCWpFrJe/,26,10,2020-06-19T20:12:50.000Z,tina.bellisano,393,259
7:39:16.421934,2020-06-20T02:51:48.421934Z,https://www.instagram.com/p/CBoMIvNFkft/,50,27,2020-06-19T19:12:32.000Z,southernmamaofone17,1709,385
7:42:06.087487,2020-06-20T02:51:55.087487Z,https://www.instagram.com/p/CBoL025g-Qm/,20,17,2020-06-19T19:09:49.000Z,thecasualstyle_blog,480,206
8:38:30.343220,2020-06-20T02:52:02.343220Z,https://www.instagram.com/p/CBoFYiRFusJ/,223,42,2020-06-19T18:13:32.000Z,jennajenkins89,10386,3793
9:56:23.968131,2020-06-20T02:52:09.968131Z,https://www.instagram.com/p/CBn8fCQBP3l/,50,10,2020-06-19T16:55:46.000Z,ashley.asdigian,564,1021
10:12:11.029474,2020-06-20T02:52:17.029474Z,https://www.instagram.com/p/CBn6sUsDjZv/,714,44,2020-06-19T16:40:06.000Z,magicalli,25328,228
10:25:46.123936,2020-06-20T02:52:23.123936Z,https://www.instagram.com/p/CBn5Jfagtmp/,144,37,2020-06-19T16:26:37.000Z,amyphyllis_krebs,7872,1225
10:34:12.567778,2020-06-20T02:52:30.567778Z,https://www.instagram.com/p/CBn4MirJI-l/,108,90,2020-06-19T16:18:18.000Z,freckledbyheathermarie,4362,1111
10:49:05.631580,2020-06-20T02:52:39.631580Z,https://www.instagram.com/p/CBn2gsCArVD/,494,130,2020-06-19T16:03:34.000Z,annaxmargaret,7689,2496
10:52:06.074030,2020-06-20T02:52:47.074030Z,https://www.instagram.com/p/CBn2LmjAgsz/,153,64,2020-06-19T16:00:41.000Z,the.midwest.style,3422,2863
13:46:24.582749,2020-06-20T02:52:58.582749Z,https://www.instagram.com/p/CBniQUCpdnE/,211,12,2020-06-19T13:06:34.000Z,cassandramariesfabstyles,923,219
18:05:26.824254,2020-06-20T02:53:04.824254Z,https://www.instagram.com/p/CBnEnxEnjvm/,4,0,2020-06-19T08:47:38.000Z,potenza.moda,108,247
"1 day, 0:52:32.517089",2020-06-20T02:53:12.517089Z,https://www.instagram.com/p/CBmWDFwFcOZ/,578,139,2020-06-19T02:00:40.000Z,mamabirdchronicles,13235,3073
"1 day, 2:45:09.494292",2020-06-20T02:53:19.494292Z,https://www.instagram.com/p/CBmJLI7ARG6/,98,4,2020-06-19T00:08:10.000Z,madsdaniel23,579,389
"1 day, 2:41:56.450933",2020-06-20T02:53:27.450933Z,https://www.instagram.com/p/CBmJjt7AEM6/,414,119,2020-06-19T00:11:31.000Z,amyphyllis_krebs,7872,1225
"1 day, 3:25:27.476449",2020-06-20T02:53:35.476449Z,https://www.instagram.com/p/CBmEl8Np-JE/,83,14,2020-06-18T23:28:08.000Z,ka_trina_tm,584,986
"1 day, 3:49:19.456701",2020-06-20T02:53:43.456701Z,https://www.instagram.com/p/CBmB4DlgBEr/,139,39,2020-06-18T23:04:24.000Z,lorenmay,1171,1007
"1 day, 6:48:14.798298",2020-06-20T02:53:48.798298Z,https://www.instagram.com/p/CBltaUSD5yf/,48,16,2020-06-18T20:05:34.000Z,brittanieniccolefowler,882,740
"1 day, 4:40:19.057854",2020-06-20T02:53:57.057854Z,https://www.instagram.com/p/CBl8ESVgFfr/,341,107,2020-06-18T22:13:38.000Z,sammi.k.davis,2854,4437
"1 day, 4:51:46.867399",2020-06-20T02:54:03.867399Z,https://www.instagram.com/p/CBl6xMADdtI/,558,77,2020-06-18T22:02:17.000Z,madstyle___,4272,766
"3 days, 11:54:49.643719",2020-06-20T02:54:10.643719Z,https://www.instagram.com/p/CBgAxvzJ3_a/,124,7,2020-06-16T14:59:21.000Z,mariapiscitellaphoto,1401,1047
"1 day, 7:38:33.730050",2020-06-20T02:54:18.730050Z,https://www.instagram.com/p/CBlnta5AFnq/,38,25,2020-06-18T19:15:45.000Z,thecasualstyle_blog,480,206
"1 day, 8:15:06.462587",2020-06-20T02:54:26.462587Z,https://www.instagram.com/p/CBljirDjFGY/,551,44,2020-06-18T18:39:20.000Z,styledbysonika,27410,871
"1 day, 8:31:07.503227",2020-06-20T02:54:33.503227Z,https://www.instagram.com/p/CBlhuL5A0kY/,367,33,2020-06-18T18:23:26.000Z,daniellespotz,7218,1359
